"Context","English","Gibberish","French","Spanish","German","Korean","BrazilianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"","The box is empty. There is no mail.","","La boîte est vide. Il n'y a pas de courrier.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail.","The box is empty. There is no mail."
"","There is mail!","","Il y a du courrier !","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!","There is mail!"
"","The original mailbox","","La boîte aux lettres d'origine","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox","The original mailbox"
"","Did the postman stop by? I hope it's not a bill!","","Le facteur s'est-il arrêté ? J'espère que ce n'est pas une facture!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!","Did the postman stop by? I hope it's not a bill!"
"","Raw MailBox","","Boîte aux lettres brute","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox","Raw MailBox"
"","A little MailBox, it's just two thing fix together","","Une petite boîte aux lettres, c'est juste deux trucs assemblés à la vas-vite","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together","A little MailBox, it's just two thing fix together"
"","Stone MailBox","","Boîte aux lettres en pierre","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox","Stone MailBox"
"","A stone MailBox, to receive your letters same a rock !!!","","Une boîte aux lettres en pierre, pour recevoir vos lettres comme un rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!","A stone MailBox, to receive your letters same a rock !!!"
"","Wood MailBox","","Boîte aux lettres en bois","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox","Wood MailBox"
"","It's a tiny wood house ? No it's just my Mailbox","","C'est une minuscule maison en bois ? Non c'est juste ma boîte aux lettres","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox","It's a tiny wood house ? No it's just my Mailbox"
